neighborhood,post title,number bedrooms,sqft,URL,price
 (san jose west),"Upgraded 2 Bed/1 Bath, 1- Car Garage Private Unit",1,350,https://sfbay.craigslist.org/sby/apa/d/upgraded-2-bed-1-bath-1-car-garage/7051053025.html,$2350.00
 (san jose south),Home Is Where Roots Grow Deep! $199 Deposit OAC!,2,1135,https://sfbay.craigslist.org/sby/apa/d/san-jose-home-is-where-roots-grow-deep/7054420845.html,$3925.00
 (campbell),"2BD/1BA, REMODELED, BRAND NEW LARGE KITCHEN,WASHER & DRYER IN UNIT",2,971,https://sfbay.craigslist.org/sby/apa/d/campbell-2bd-1ba-remodeled-brand-new/7044335247.html,$2400.00
 (campbell),"RENOVATED 2BD/1BA , 1ST FLOOR, DISHWASHER, IN-UNIT WASHER/DRYER",1,,https://sfbay.craigslist.org/sby/apa/d/san-jose-renovated-2bd-1ba-1st-floor/7051653766.html,$2400.00
 (sunnyvale),"Stunning, 3 Beds, 2-Baths Single-Family Home in Sunnyvale, CA",2,840,https://sfbay.craigslist.org/sby/apa/d/sunnyvale-stunning-3-beds-2-baths/7055670770.html,$4600.00
 (san jose north),Single Family 4b/2b in N SJ for Rent (Great Neighborhood & Schools),3,1270,https://sfbay.craigslist.org/sby/apa/d/san-jose-single-family-4b-2b-in-sj-for/7055698082.html,$3800.00
 (mountain view),"WOW light + bright 2BR apt, Pets welcome, GREAT SAVINGS!! LUX kitchen",2,1100,https://sfbay.craigslist.org/sby/apa/d/los-altos-wow-light-bright-2br-apt-pets/7040935244.html,$3295.00
 (mountain view),"Quiet, Clean, Serene Stand-Alone 1 Bedroom/1 Bath Condo",2,1076,https://sfbay.craigslist.org/sby/apa/d/palo-alto-quiet-clean-serene-stand/7053222035.html,$2500.00
 (sunnyvale),"1bd/1bath quiet, w/d in unit, central heat/air",1,,https://sfbay.craigslist.org/sby/apa/d/sunnyvale-1bd-1bath-quiet-d-in-unit/7055696343.html,$2775.00
 (saratoga),"Spacious, Luxury Home for Rent in Saratoga",2,915,https://sfbay.craigslist.org/sby/apa/d/san-jose-spacious-luxury-home-for-rent/7046118681.html,$7995.00
 (san jose west),Beautiful Townhome in West San Jose (Cupertino Schools) for rent,2,1079,https://sfbay.craigslist.org/sby/apa/d/san-jose-beautiful-townhome-in-west-san/7055693303.html,$4100.00
 (hollister),"Brand new beautiful 3bd. 2ba. home, Avail. NOW",2,800,https://sfbay.craigslist.org/sby/apa/d/hollister-brand-new-beautiful-3bd-2ba/7055695562.html,$2950.00
 (cupertino),3BR/ 2BA SFH in Cupertino,2,986,https://sfbay.craigslist.org/sby/apa/d/cupertino-3br-2ba-sfh-in-cupertino/7055695474.html,$4100.00
 (san jose downtown),Your Own Quiet Private Studio at affordable price,3,1350,https://sfbay.craigslist.org/sby/apa/d/san-jose-your-own-quiet-private-studio/7047858120.html,$1500.00
 (sunnyvale),Spacious 2 Bedroom 1 Bath Apartment!,1,688,https://sfbay.craigslist.org/sby/apa/d/sunnyvale-spacious-2-bedroom-1-bath/7055689114.html,$2595.00
 (sunnyvale),Move- in special! Location! Remodeled Unit! Utilities Included!,2,1120,https://sfbay.craigslist.org/sby/apa/d/sunnyvale-move-in-special-location/7055690375.html,$2395.00
 (campbell),Remodeled Quiet Fireplace Patio  Cul-A-Sac Nice Great Schools!,2,1646,https://sfbay.craigslist.org/sby/apa/d/campbell-remodeled-quiet-fireplace/7055689596.html,$2900.00
 (sunnyvale),Gorgeous 2 Bed 1 Bath Apartment!,3,1420,https://sfbay.craigslist.org/sby/apa/d/sunnyvale-gorgeous-2-bed-1-bath/7055684891.html,$2595.00
 (san jose downtown),"1BR 1BA apt in Rose Garden / San Jose area! LUX kitchen, Spacious plan",1,647,https://sfbay.craigslist.org/sby/apa/d/san-jose-1br-1ba-apt-in-rose-garden-san/7040865142.html,$1850.00
 (milpitas),Start the new year right at Turing apartments for your 2 bedroom!,3,1800,https://sfbay.craigslist.org/sby/apa/d/milpitas-start-the-new-year-right-at/7053083972.html,$3455.00
 (hollister),San Benito Apartments,3,1700,https://sfbay.craigslist.org/sby/apa/d/hollister-san-benito-apartments/7043555500.html,$1950.00
 (mountain view),"Designer Quartz Countertops, Chef-inspired Kitchens with Gas Cooking",3,1300,https://sfbay.craigslist.org/sby/apa/d/palo-alto-designer-quartz-countertops/7049249730.html,$3075.00
 (hollister),San Benito Apartments - MOVE IN SPECIAL,1,939,https://sfbay.craigslist.org/sby/apa/d/hollister-san-benito-apartments-move-in/7048392111.html,$1595.00
 (mountain view),"Mountain View 3BR apt, Very spacious! Modern fixtures, Deluxe kitchen",2,1155,https://sfbay.craigslist.org/sby/apa/d/los-altos-mountain-view-3br-apt-very/7049288262.html,$3895.00
 (san jose west),Upgraded 1bed/1bath - Menden Manor Apartments,1,816,https://sfbay.craigslist.org/sby/apa/d/san-jose-upgraded-1bed-1bath-menden/7045970291.html,$1995.00
 (san jose south),Apartment for rent,2,,https://sfbay.craigslist.org/sby/apa/d/san-jose-apartment-for-rent/7055674119.html,$2300.00
 (san jose downtown),"Excellent value! San Jose 1 bedroom apt, High ceiling, Modern kitchen",4,2520,https://sfbay.craigslist.org/sby/apa/d/san-jose-excellent-value-san-jose-1/7042049558.html,$2099.00
 (cupertino),"NEW UNIT, PRIME LOCATION, NEXT TO VTA/GROCERY.Sec8 OK, AVAILABLE NOW",2,840,https://sfbay.craigslist.org/sby/apa/d/cupertino-new-unit-prime-location-next/7048029292.html,$2990.00
 (cupertino),"NEW UNIT, PRIME LOCATION, NEXT TO VTA/GROCERY.Sec8 OK, AVAILABLE NOW",2,982,https://sfbay.craigslist.org/sby/apa/d/cupertino-new-unit-prime-location-next/7048026339.html,$2990.00
 (cupertino),"NEW UNIT, PRIME LOCATION, NEXT TO VTA/GROCERY.Sec8 OK, AVAILABLE NOW",2,900,https://sfbay.craigslist.org/sby/apa/d/cupertino-new-unit-prime-location-next/7047995080.html,$2990.00
 (milpitas),"Pool And Spa with Fireside Lounge, Outdoor BBQs, Non-Smoking Community",2,,https://sfbay.craigslist.org/sby/apa/d/milpitas-pool-and-spa-with-fireside/7045533593.html,$2455.00
 (cupertino),"NEW UNIT, PRIME LOCATION, NEXT TO VTA/GROCERY.Sec8 OK, AVAILABLE NOW",1,700,https://sfbay.craigslist.org/sby/apa/d/cupertino-new-unit-prime-location-next/7047995197.html,$2990.00
 (cupertino),"NEW UNIT, PRIME LOCATION, NEXT TO VTA/GROCERY.Sec8 OK, AVAILABLE NOW",1,700,https://sfbay.craigslist.org/sby/apa/d/cupertino-new-unit-prime-location-next/7047994963.html,$2990.00
 (san jose downtown),Bright living space :: Victorian 1BR 1BA apt :: Fully-equipped kitchen,2,900,https://sfbay.craigslist.org/sby/apa/d/san-jose-bright-living-space-victorian/7051656548.html,$2295.00
 (san jose downtown),"$1845 / 1br/1ba - S 8th St/Reed, walk to SJSU",1,700,https://sfbay.craigslist.org/sby/apa/d/san-jose-br-1ba-8th-st-reed-walk-to-sjsu/7053140374.html,$1845.00
 (willow glen / cambrian),"LUX kitchen, Bright white cabinets + appliances, RENOVATED 1BR 1BA apt",3,1300,https://sfbay.craigslist.org/sby/apa/d/san-jose-lux-kitchen-bright-white/7043542577.html,$2195.00
 (san jose downtown),"$1845/1br/1ba - S 8th St/Reed, walk to SJSU",2,,https://sfbay.craigslist.org/sby/apa/d/san-jose-br-1ba-8th-st-reed-walk-to-sjsu/7053148759.html,$1845.00
 (santa clara),"WOW breakfast bar, LUX kitchen, Open living space, Ideal 1BR 1BA apt",1,711,https://sfbay.craigslist.org/sby/apa/d/santa-clara-wow-breakfast-bar-lux/7046831429.html,$2650.00
 (san jose west),"Open bright 2BR 1BA apt, Wall-to-wall closets, LUX kitchen w/ pantry",3,,https://sfbay.craigslist.org/sby/apa/d/san-jose-open-bright-2br-1ba-apt-wall/7042006202.html,$2550.00
 (san jose south),"Beautiful Two Story, Three Bedroom Home Available NOW in South SanJose",2,850,https://sfbay.craigslist.org/sby/apa/d/san-jose-beautiful-two-story-three/7055744500.html,$1500.00
 (san jose south),Sail Into Your New Home!! $199 Deposit OAC!,2,1173,https://sfbay.craigslist.org/sby/apa/d/san-jose-sail-into-your-new-home-199/7054417928.html,$2329.00
 (milpitas),Beauty 3 Bdrm Townhouse close to BART station,2,1114,https://sfbay.craigslist.org/sby/apa/d/milpitas-beauty-3-bdrm-townhouse-close/7055738948.html,$3600.00
 (san jose downtown),"Rooftop Entertaining, High-end Details, Comfortable 1BR Loft, San Jose",3,1020,https://sfbay.craigslist.org/sby/apa/d/san-jose-rooftop-entertaining-high-end/7049100729.html,$2600.00
 (san jose downtown),SILICON / VENICE BEACH -- FURNISHED COMMERCIAL LIVE WORK SPA,1,500,https://sfbay.craigslist.org/sby/apa/d/venice-silicon-venice-beach-furnished/7055738352.html,$5450.00
 (san jose downtown),"Must see 1BR 1BA apt, Rose Garden neighborhood, Fully-equipped kitchen",1,700,https://sfbay.craigslist.org/sby/apa/d/san-jose-must-see-1br-1ba-apt-rose/7052290534.html,$1850.00
 (sunnyvale),Lovely 1 Bedroom  Apartment,3,1500,https://sfbay.craigslist.org/sby/apa/d/sunnyvale-lovely-1-bedroom-apartment/7054358646.html,$2000.00
 (cupertino),"Recently Upgraded 2BR apt in Cupertino, LUX flooring, Modern kitchen",2,818,https://sfbay.craigslist.org/sby/apa/d/cupertino-recently-upgraded-2br-apt-in/7046904514.html,$2795.00
 (san jose downtown),Furnished 1 bedroom in a soaring 12-ft tall ceiling,3,2014,https://sfbay.craigslist.org/sby/apa/d/san-jose-furnished-1-bedroom-in-soaring/7055734166.html,$850.00
 (milpitas),Your new home is here at Turing! ($2000 gift card),2,1000,https://sfbay.craigslist.org/sby/apa/d/milpitas-your-new-home-is-here-at/7054174176.html,$3455.00
 (san jose downtown),"desired neighborhood, near restaurants and shops, close to charming Do",2,1000,https://sfbay.craigslist.org/sby/apa/d/san-jose-desired-neighborhood-near/7052044628.html,$1800.00
 (san jose downtown),"1BR 1BA apt in Ideal Downtown San Jose! Fiber-ready, Modern kitchen",3,,https://sfbay.craigslist.org/sby/apa/d/san-jose-1br-1ba-apt-in-ideal-downtown/7049151924.html,$2099.00
 (milpitas),"Kitchen Pantries, Business Center and Private Pod Rooms, Clubhouse",4,1480,https://sfbay.craigslist.org/sby/apa/d/milpitas-kitchen-pantries-business/7046988981.html,$2365.00
 (morgan hill),Beautiful Large Double Room for Rent,2,1100,https://sfbay.craigslist.org/sby/apa/d/morgan-hill-beautiful-large-double-room/7050095681.html,$1670.00
 (san jose downtown),"Minutes to Caltrain, Rose Garden 1BR apt, UPGRADED kitchen, Must see!!",1,756,https://sfbay.craigslist.org/sby/apa/d/san-jose-minutes-to-caltrain-rose/7043575657.html,$1850.00
 (san jose west),New carpeting! Large 1 bedroom 1 bath apt **SAVE $200** Modern kitchen,1,690,https://sfbay.craigslist.org/sby/apa/d/san-jose-new-carpeting-large-1-bedroom/7042045861.html,$2295.00
 (sunnyvale),4 Bedrooms/ 2 Baths in Sunnyvale near Mathilda Ave. and Maude Ave.,7,3667,https://sfbay.craigslist.org/sby/apa/d/sunnyvale-4-bedrooms-2-baths-in/7055727756.html,$4290.00
 (san jose south),Find Your Freedom Without Leaving Home!! $199 Deposit OAC!,3,1790,https://sfbay.craigslist.org/sby/apa/d/san-jose-find-your-freedom-without/7054419030.html,$3129.00
 (mountain view),Hardwood-style flooring :: Mountain View 2BR 2BA apt :: Deluxe kitchen,3,,https://sfbay.craigslist.org/sby/apa/d/los-altos-hardwood-style-flooring/7042004423.html,$3295.00
 (campbell),Amazing One bedroom Condo,3,1115,https://sfbay.craigslist.org/sby/apa/d/campbell-amazing-one-bedroom-condo/7055723383.html,$1650.00
 (san jose downtown),"Built-in shelves, Kitchen has all you need! Spacious Victorian 2BR apt",2,810,https://sfbay.craigslist.org/sby/apa/d/san-jose-built-in-shelves-kitchen-has/7039729456.html,$2650.00
 (san jose downtown),"1BR 1BA apt has NEW features! Upgraded kitchen, Prime Rose Garden area",1,820,https://sfbay.craigslist.org/sby/apa/d/san-jose-1br-1ba-apt-has-new-features/7049009758.html,$1850.00
 (san jose downtown),Luxury Downstairs 2 Bedroom Duplex,2,1600,https://sfbay.craigslist.org/sby/apa/d/san-jose-luxury-downstairs-2-bedroom/7053279693.html,$2800.00
 (willow glen / cambrian),Upstairs 2 Bedroom 2 Bath Condo in Willow Glen with large closets,2,810,https://sfbay.craigslist.org/sby/apa/d/san-jose-upstairs-2-bedroom-2-bath/7053279656.html,$2600.00
 (san jose downtown),JAPAN TOWN UPSTAIRS 2 BD 1 BATH,2,982,https://sfbay.craigslist.org/sby/apa/d/san-jose-japan-town-upstairs-2-bd-1-bath/7053279589.html,$2200.00
 (santa clara),Desirable 2BR Near New Apple Campus and Kaiser,1,453,https://sfbay.craigslist.org/sby/apa/d/santa-clara-desirable-2br-near-new/7055722314.html,$2495.00
 (santa clara),Extra Large 1BR near Kaiser & major tech co.,2,971,https://sfbay.craigslist.org/sby/apa/d/santa-clara-extra-large-1br-near-kaiser/7055722273.html,$2350.00
 (santa clara),Quiet Upstairs Corner Studio near Kaiser and Apple,2,1155,https://sfbay.craigslist.org/sby/apa/d/santa-clara-quiet-upstairs-corner/7055722221.html,$1850.00
 (santa clara),1bed1bath公寓步行距離勞倫,2,696,https://sfbay.craigslist.org/sby/apa/d/santa-clara-1bed1bath/7055722204.html,$1900.00
 (milpitas),"2 bedroom apartment, up to 2 months free! Call us now!",1,549,https://sfbay.craigslist.org/sby/apa/d/milpitas-2-bedroom-apartment-up-to-2/7054241355.html,$3705.00
 (santa clara),1bed1bath Apt walking distance to Lawrence rail station,1,,https://sfbay.craigslist.org/sby/apa/d/santa-clara-1bed1bath-apt-walking/7051351862.html,$1900.00
 (cupertino),"Convenient Cupertino location! Updated 2BR apt, Lots of closet space",3,1300,https://sfbay.craigslist.org/sby/apa/d/cupertino-convenient-cupertino-location/7049247745.html,$2895.00
 (sunnyvale),Newly remodeled 3b/2b House for Rent,1,782,https://sfbay.craigslist.org/sby/apa/d/sunnyvale-newly-remodeled-3b-2b-house/7055720036.html,$3800.00
 (los gatos),$3390 / 2br -2ba 1100ft- Downtown LG..Perfect location!,1,560,https://sfbay.craigslist.org/sby/apa/d/los-gatos-br-2ba-1100ft-downtown/7055718940.html,$3390.00
 (milpitas),"Common Area Wi-Fi, Clubhouse, Non-Smoking Community",1,700,https://sfbay.craigslist.org/sby/apa/d/milpitas-common-area-wi-fi-clubhouse/7049406853.html,$3075.00
 (san jose downtown),Modern Furnished Luxury Condo,1,784,https://sfbay.craigslist.org/sby/apa/d/san-jose-modern-furnished-luxury-condo/7055717156.html,$2695.00
 (santa clara),"1-bedroom, 1 bath, single-family Home",2,800,https://sfbay.craigslist.org/sby/apa/d/santa-clara-1-bedroom-1-bath-single/7055716413.html,$1450.00
 (willow glen / cambrian),"2BR 2BA apt, NEW appliances, Plenty of storage, Fully-equipped kitchen",2,800,https://sfbay.craigslist.org/sby/apa/d/san-jose-2br-2ba-apt-new-appliances/7049056963.html,$2650.00
 (san jose south),Free Rent 'Til February! 1st Month Free!,2,800,https://sfbay.craigslist.org/sby/apa/d/san-jose-free-rent-til-february-1st/7054420092.html,$3129.00
 (san jose west),"1ba, 1 Car Gar.+1 off-St. Parking in a Quiet 4-plex",1,785,https://sfbay.craigslist.org/sby/apa/d/san-jose-1ba-1-car-gar1-off-st-parking/7055715600.html,$2495.00
 (san jose west),"unit/fantastic 2bd, - @ 801 S Winchester Blvd - Gorgeous",2,800,https://sfbay.craigslist.org/sby/apa/d/san-jose-unit-fantastic-2bd-winchester/7055713382.html,$2850.00
 (sunnyvale),Quiet neighborhood central location 3Br 2.5Bath Townhome - Must See!,2,800,https://sfbay.craigslist.org/sby/apa/d/sunnyvale-quiet-neighborhood-central/7055715396.html,$3700.00
 (santa clara),"1 bedroom apt, Walk-in closet, Open concept plan, Generous closets",1,721,https://sfbay.craigslist.org/sby/apa/d/santa-clara-1-bedroom-apt-walk-in/7049176928.html,$2650.00
 (San Jose),2 beds 1.5 bath Cute Shasta / Hanchet beautiful bungalow,1,500,https://sfbay.craigslist.org/sby/apa/d/san-jose-2-beds-15-bath-cute-shasta/7046216877.html,$4500.00
 (san jose south),"Peaceful and Serene, Beautiful Lake View for rent",1,700,https://sfbay.craigslist.org/sby/apa/d/san-jose-peaceful-and-serene-beautiful/7055713501.html,$1000.00
 (cupertino),"big yard, walk to garden gate elementary 3B/2B",1,,https://sfbay.craigslist.org/sby/apa/d/cupertino-big-yard-walk-to-garden-gate/7055712329.html,$3890.00
 (san jose downtown),Gorgeous Modern Townhouse For Rent,1,688,https://sfbay.craigslist.org/sby/apa/d/san-jose-gorgeous-modern-townhouse-for/7046468582.html,$3600.00
 (campbell),3 Bed/2.5 Bath Campbell Home For Rent,2,875,https://sfbay.craigslist.org/sby/apa/d/campbell-3-bed-25-bath-campbell-home/7046468406.html,$4200.00
 (mountain view),3 bed/2 bath Walk to Downtown Mountain View Castro Street,3,1447,https://sfbay.craigslist.org/sby/apa/d/mountain-view-3-bed-2-bath-walk-to/7055707817.html,$4435.00
 (san jose downtown),"Excellent storage! Ideal Downtown San Jose, 1BR 1BA apt, LUX kitchen",1,845,https://sfbay.craigslist.org/sby/apa/d/san-jose-excellent-storage-ideal/7040925867.html,$2550.00
 (milpitas),Turing the Fields Milpitas (Call for specials),3,1530,https://sfbay.craigslist.org/sby/apa/d/milpitas-turing-the-fields-milpitas/7053014123.html,$3410.00
 (san jose west),SCAM  2bdr -SJ  Convention Cntr. Lyft Uber Friendly,1,647,https://sfbay.craigslist.org/sby/apa/d/san-jose-scam-2bdr-sj-convention-cntr/7055705644.html,$1350.00
 (san jose downtown),$$$$$ Promo. Furnished house all inclusive. FIRE VICTIM FMLY? STAYFREE,1,607,https://sfbay.craigslist.org/sby/apa/d/promo-furnished-house-all-inclusive/7044488449.html,$3999.00
 (cupertino),"Cupertino 2BR 1.5BA apt **Total Remodel** Stunning kitchen, LUX bath",1,1100,https://sfbay.craigslist.org/sby/apa/d/cupertino-cupertino-2br-15ba-apt-total/7051747284.html,$2895.00
 (santa clara),"Stop- Look-Lease, Welcome, OPEN HOUSE 🏠 WASHER + DRYER☎️call us☎️",1,453,https://sfbay.craigslist.org/sby/apa/d/santa-clara-stop-look-lease-welcome/7055707094.html,$2695.00
 (san jose west),SCAM  2bdr -SJ  Convention Cntr. Lyft Uber Friendly,1,700,https://sfbay.craigslist.org/sby/apa/d/san-jose-scam-2bdr-sj-convention-cntr/7055705424.html,$2300.00
 (santa clara),"OPEN HOUSE, WELCOME One bedroom One bathroom available",2,840,https://sfbay.craigslist.org/sby/apa/d/santa-clara-open-house-welcome-one/7055706858.html,$2195.00
 (santa clara),Available - immediate move in~*~Renovated with W/D in Home!,1,,https://sfbay.craigslist.org/sby/apa/d/santa-clara-available-immediate-move/7055706240.html,$2325.00
 (santa clara),"Stop- Look-Lease, Welcome, OPEN HOUSE 🏠 WASHER + DRYER☎️call us☎️",2,1155,https://sfbay.craigslist.org/sby/apa/d/santa-clara-stop-look-lease-welcome/7055706065.html,$2695.00
 (santa clara),"Available January 14, 2020~Washer & Dryer in Unit!",1,816,https://sfbay.craigslist.org/sby/apa/d/dearing-available-january-washer-dryer/7055705877.html,$2295.00
 (milpitas),"雅房 3bd/2b in-law unit in Milpitas for rent, $3300, utility included",1,,https://sfbay.craigslist.org/sby/apa/d/milpitas-3bd-2b-in-law-unit-in-milpitas/7055705314.html,$3300.00
 (san jose west),SCAM  2bdr -SJ  Convention Cntr. Lyft Uber Friendly,1,784,https://sfbay.craigslist.org/sby/apa/d/san-jose-scam-2bdr-sj-convention-cntr/7055705112.html,$1350.00
 (milpitas),"Gated Parking Garage, Non-Smoking Community, Kitchen Pantries",1,711,https://sfbay.craigslist.org/sby/apa/d/milpitas-gated-parking-garage-non/7045183054.html,$2390.00
 (Menlo Park),"Menlo Park Home (entire house, or by room)",2,420,https://sfbay.craigslist.org/sby/apa/d/menlo-park-menlo-park-home-entire-house/7055697835.html,$1500.00
 (san jose west),"Remodel Duplex Near “Valley Fair/Santana Row”, San Jose",1,453,https://sfbay.craigslist.org/sby/apa/d/san-jose-remodel-duplex-near-valley/7055702523.html,$2775.00
 (campbell),2 Story Spacious Condo with W/D,1,740,https://sfbay.craigslist.org/sby/apa/d/campbell-2-story-spacious-condo-with-d/7055702431.html,$2650.00
 (sunnyvale),"Sunnyvale, 3/1.5bath, $3200, 4 plex, Garage,Upgraded, Good location",4,1350,https://sfbay.craigslist.org/sby/apa/d/sunnyvale-sunnyvale-3-15bath-plex/7051963815.html,$3200.00
 (cupertino),"Cupertino, 1 Rm, $1000, De Anza (Walking),Utilities, inter    net free",2,1079,https://sfbay.craigslist.org/sby/apa/d/cupertino-cupertino-1-rm-1000-de-anza/7051965617.html,$1000.00
 (willow glen / cambrian),"RENOVATED 1BR apt, Spacious plan, Great for commute, Generous storage",2,1100,https://sfbay.craigslist.org/sby/apa/d/san-jose-renovated-1br-apt-spacious/7049229519.html,$2195.00
 (sunnyvale),"$3450, Sunnyvale, 4 plex (Owner's unit), 3/2, Upgraded,  Garagee",1,744,https://sfbay.craigslist.org/sby/apa/d/sunnyvale-3450-sunnyvale-4-plex-owners/7051966435.html,$3450.00
 (san jose west),"Upgraded 2 Bed/1 Bath, 1- Car Garage Private Unit",2,1108,https://sfbay.craigslist.org/sby/apa/d/upgraded-2-bed-1-bath-1-car-garage/7051053025.html,$2350.00
 (san jose south),Home Is Where Roots Grow Deep! $199 Deposit OAC!,1,453,https://sfbay.craigslist.org/sby/apa/d/san-jose-home-is-where-roots-grow-deep/7054420845.html,$3925.00
 (campbell),"2BD/1BA, REMODELED, BRAND NEW LARGE KITCHEN,WASHER & DRYER IN UNIT",1,647,https://sfbay.craigslist.org/sby/apa/d/campbell-2bd-1ba-remodeled-brand-new/7044335247.html,$2400.00
 (campbell),"RENOVATED 2BD/1BA , 1ST FLOOR, DISHWASHER, IN-UNIT WASHER/DRYER",2,1100,https://sfbay.craigslist.org/sby/apa/d/san-jose-renovated-2bd-1ba-1st-floor/7051653766.html,$2400.00
 (sunnyvale),"Stunning, 3 Beds, 2-Baths Single-Family Home in Sunnyvale, CA",2,879,https://sfbay.craigslist.org/sby/apa/d/sunnyvale-stunning-3-beds-2-baths/7055670770.html,$4600.00
 (san jose north),Single Family 4b/2b in N SJ for Rent (Great Neighborhood & Schools),2,775,https://sfbay.craigslist.org/sby/apa/d/san-jose-single-family-4b-2b-in-sj-for/7055698082.html,$3800.00
 (mountain view),"WOW light + bright 2BR apt, Pets welcome, GREAT SAVINGS!! LUX kitchen",2,850,https://sfbay.craigslist.org/sby/apa/d/los-altos-wow-light-bright-2br-apt-pets/7040935244.html,$3295.00
 (mountain view),"Quiet, Clean, Serene Stand-Alone 1 Bedroom/1 Bath Condo",1,700,https://sfbay.craigslist.org/sby/apa/d/palo-alto-quiet-clean-serene-stand/7053222035.html,$2500.00
 (sunnyvale),"1bd/1bath quiet, w/d in unit, central heat/air",1,350,https://sfbay.craigslist.org/sby/apa/d/sunnyvale-1bd-1bath-quiet-d-in-unit/7055696343.html,$2775.00
 (saratoga),"Spacious, Luxury Home for Rent in Saratoga",2,1135,https://sfbay.craigslist.org/sby/apa/d/san-jose-spacious-luxury-home-for-rent/7046118681.html,$7995.00
 (san jose west),Beautiful Townhome in West San Jose (Cupertino Schools) for rent,2,971,https://sfbay.craigslist.org/sby/apa/d/san-jose-beautiful-townhome-in-west-san/7055693303.html,$4100.00
 (hollister),"Brand new beautiful 3bd. 2ba. home, Avail. NOW",1,,https://sfbay.craigslist.org/sby/apa/d/hollister-brand-new-beautiful-3bd-2ba/7055695562.html,$2950.00
 (cupertino),3BR/ 2BA SFH in Cupertino,2,840,https://sfbay.craigslist.org/sby/apa/d/cupertino-3br-2ba-sfh-in-cupertino/7055695474.html,$4100.00
 (san jose downtown),Your Own Quiet Private Studio at affordable price,3,1270,https://sfbay.craigslist.org/sby/apa/d/san-jose-your-own-quiet-private-studio/7047858120.html,$1500.00
 (sunnyvale),Spacious 2 Bedroom 1 Bath Apartment!,2,1100,https://sfbay.craigslist.org/sby/apa/d/sunnyvale-spacious-2-bedroom-1-bath/7055689114.html,$2595.00
 (sunnyvale),Move- in special! Location! Remodeled Unit! Utilities Included!,2,1076,https://sfbay.craigslist.org/sby/apa/d/sunnyvale-move-in-special-location/7055690375.html,$2395.00
 (campbell),Remodeled Quiet Fireplace Patio  Cul-A-Sac Nice Great Schools!,1,,https://sfbay.craigslist.org/sby/apa/d/campbell-remodeled-quiet-fireplace/7055689596.html,$2900.00
 (sunnyvale),Gorgeous 2 Bed 1 Bath Apartment!,2,915,https://sfbay.craigslist.org/sby/apa/d/sunnyvale-gorgeous-2-bed-1-bath/7055684891.html,$2595.00
 (san jose downtown),"1BR 1BA apt in Rose Garden / San Jose area! LUX kitchen, Spacious plan",2,1079,https://sfbay.craigslist.org/sby/apa/d/san-jose-1br-1ba-apt-in-rose-garden-san/7040865142.html,$1850.00
 (milpitas),Start the new year right at Turing apartments for your 2 bedroom!,2,800,https://sfbay.craigslist.org/sby/apa/d/milpitas-start-the-new-year-right-at/7053083972.html,$3455.00
 (hollister),San Benito Apartments,2,986,https://sfbay.craigslist.org/sby/apa/d/hollister-san-benito-apartments/7043555500.html,$1950.00
 (mountain view),"Designer Quartz Countertops, Chef-inspired Kitchens with Gas Cooking",3,1350,https://sfbay.craigslist.org/sby/apa/d/palo-alto-designer-quartz-countertops/7049249730.html,$3075.00
 (hollister),San Benito Apartments - MOVE IN SPECIAL,1,688,https://sfbay.craigslist.org/sby/apa/d/hollister-san-benito-apartments-move-in/7048392111.html,$1595.00
 (mountain view),"Mountain View 3BR apt, Very spacious! Modern fixtures, Deluxe kitchen",2,1120,https://sfbay.craigslist.org/sby/apa/d/los-altos-mountain-view-3br-apt-very/7049288262.html,$3895.00
 (san jose west),Upgraded 1bed/1bath - Menden Manor Apartments,2,1646,https://sfbay.craigslist.org/sby/apa/d/san-jose-upgraded-1bed-1bath-menden/7045970291.html,$1995.00
 (san jose south),Apartment for rent,3,1420,https://sfbay.craigslist.org/sby/apa/d/san-jose-apartment-for-rent/7055674119.html,$2300.00
 (san jose downtown),"Excellent value! San Jose 1 bedroom apt, High ceiling, Modern kitchen",1,647,https://sfbay.craigslist.org/sby/apa/d/san-jose-excellent-value-san-jose-1/7042049558.html,$2099.00
 (cupertino),"NEW UNIT, PRIME LOCATION, NEXT TO VTA/GROCERY.Sec8 OK, AVAILABLE NOW",3,1800,https://sfbay.craigslist.org/sby/apa/d/cupertino-new-unit-prime-location-next/7048029292.html,$2990.00
 (cupertino),"NEW UNIT, PRIME LOCATION, NEXT TO VTA/GROCERY.Sec8 OK, AVAILABLE NOW",3,1700,https://sfbay.craigslist.org/sby/apa/d/cupertino-new-unit-prime-location-next/7048026339.html,$2990.00
 (cupertino),"NEW UNIT, PRIME LOCATION, NEXT TO VTA/GROCERY.Sec8 OK, AVAILABLE NOW",3,1300,https://sfbay.craigslist.org/sby/apa/d/cupertino-new-unit-prime-location-next/7047995080.html,$2990.00
 (milpitas),"Pool And Spa with Fireside Lounge, Outdoor BBQs, Non-Smoking Community",1,939,https://sfbay.craigslist.org/sby/apa/d/milpitas-pool-and-spa-with-fireside/7045533593.html,$2455.00
 (cupertino),"NEW UNIT, PRIME LOCATION, NEXT TO VTA/GROCERY.Sec8 OK, AVAILABLE NOW",2,1155,https://sfbay.craigslist.org/sby/apa/d/cupertino-new-unit-prime-location-next/7047995197.html,$2990.00
